time,reno_goodput1
939.0,0.0504
940.0,0.04560000000000001
941.0,0.027999999999999997
942.0,0.045599999999999995
943.0,0.0472
944.0,0.0408
945.0,0.0256
946.0,0.045599999999999995
947.0,0.04239999999999999
948.0,0.0408
949.0,0.0184
950.0,0.048
951.0,0.039999999999999994
952.0,0.045599999999999995
953.0,0.016000000000000004
954.0,0.048
955.0,0.04479999999999999
956.0,0.0392
957.0,0.0344
958.0,0.057600000000000005
959.0,0.04479999999999999
960.0,0.0344
961.0,0.032
962.0,0.055200000000000006
963.0,0.044800000000000006
964.0,0.0288
965.0,0.0392
966.0,0.0536
967.0,0.03520000000000001
968.0,0.031200000000000006
969.0,0.044
970.0,0.044
971.0,0.036
972.0,0.023199999999999995
973.0,0.045599999999999995
974.0,0.04239999999999999
975.0,0.040799999999999996
976.0,0.020800000000000003
977.0,0.045599999999999995
978.0,0.0472
979.0,0.0392
980.0,0.0344
981.0,0.055200000000000006
982.0,0.0472
983.0,0.0336
984.0,0.0328
985.0,0.0536
986.0,0.0464
987.0,0.0288
988.0,0.041600000000000005
989.0,0.052000000000000005
990.0,0.0368
991.0,0.031200000000000006
992.0,0.0512
993.0,0.04239999999999999
994.0,0.037599999999999995
995.0,0.023199999999999995
996.0,0.0528
997.0,0.04079999999999999
998.0,0.0424
999.0,0.0128
